
date,utcdate,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,icon,fog,rain,snow,hail,thunder,tornado,metar
"{'pretty': '5:00 AM PDT on June 03, 2015', 'year': '2015', 'mon': '06', 'mday': '03', 'hour': '05', 'min': '00', 'tzname': 'America/Vancouver'}","{'pretty': '12:00 PM GMT on June 03, 2015', 'year': '2015', 'mon': '06', 'mday': '03', 'hour': '12', 'min': '00', 'tzname': 'UTC'}",11,53,5,41,54,3.7,2.3,,,350,North,,,1024,30.25,-999,-999,-9999,-9999,,,,,0,0,0,0,0,0,AAXX 03124 71890 16/// /3502 10114 20051 30214 40242 58003 60001 333 10126 20063 70000
"{'pretty': '5:00 AM PDT on June 03, 2015', 'year': '2015', 'mon': '06', 'mday': '03', 'hour': '05', 'min': '00', 'tzname': 'America/Vancouver'}","{'pretty': '12:00 PM GMT on June 03, 2015', 'year': '2015', 'mon': '06', 'mday': '03', 'hour': '12', 'min': '00', 'tzname': 'UTC'}",11,53,5,41,54,3.7,2.3,,,350,North,,,1024,30.25,-999,-999,-9999,-9999,,,,,0,0,0,0,0,0,AAXX 03124 71890 16/// /3502 10114 20051 30214 40242 58003 60001 333 10126 20063 70000
date,utcdate,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,icon,fog,rain,snow,hail,thunder,tornado,metar
"{'pretty': '12:00 AM ADT on May 04, 2008', 'year': '2008', 'mon': '05', 'mday': '04', 'hour': '00', 'min': '00', 'tzname': 'America/Halifax'}","{'pretty': '3:00 AM GMT on May 04, 2008', 'year': '2008', 'mon': '05', 'mday': '04', 'hour': '03', 'min': '00', 'tzname': 'UTC'}",-0.1,31.8,-0.1,31.8,100,7.4,4.6,-9999.0,-9999.0,360,North,-9999.0,-9999.0,1023.4,30.22,-2.6,27.3,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CAHR 040300Z AUTO 36004KT M00/M00 RMK AO1 SLP234 T10011001 58003
"{'pretty': '12:00 AM ADT on October 26, 2011', 'year': '2011', 'mon': '10', 'mday': '26', 'hour': '00', 'min': '00', 'tzname': 'America/Halifax'}","{'pretty': '3:00 AM GMT on October 26, 2011', 'year': '2011', 'mon': '10', 'mday': '26', 'hour': '03', 'min': '00', 'tzname': 'UTC'}",7.9,46.2,7.1,44.8,95,9.3,5.8,-9999.0,-9999.0,330,NNW,-9999.0,-9999.0,999.7,29.52,6.3,43.3,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CWSD 260300Z AUTO 33005KT 08/07 RMK AO1 8019 SLP997 T00790071 50010
"{'pretty': '12:00 AM ADT on May 01, 2017', 'year': '2017', 'mon': '05', 'mday': '01', 'hour': '00', 'min': '00', 'tzname': 'America/Halifax'}","{'pretty': '3:00 AM GMT on May 01, 2017', 'year': '2017', 'mon': '05', 'mday': '01', 'hour': '03', 'min': '00', 'tzname': 'UTC'}",1,34,-4,25,60,11.1,6.9,,,220,SW,,,1025,30.26,-999,-999,-9999,-9999,,,,,0,0,0,0,0,0,AAXX 01034 71350 26/// /2206 10010 21037 30180 40246 55000 333 60007
"{'pretty': '12:00 AM ADT on July 09, 2010', 'year': '2010', 'mon': '07', 'mday': '09', 'hour': '00', 'min': '00', 'tzname': 'America/Halifax'}","{'pretty': '3:00 AM GMT on July 09, 2010', 'year': '2010', 'mon': '07', 'mday': '09', 'hour': '03', 'min': '00', 'tzname': 'UTC'}",20.0,68.0,17.8,64.0,87,24.1,15.0,-9999.0,-9999.0,220,SW,-9999.0,-9999.0,1016.3,30.01,-999,-999,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CWSD 090300Z AUTO 22013KT 20/18 RMK AO1 PK WND 22019/0223 SLP163 T02000178 50005
"{'pretty': '12:00 AM ADT on May 12, 2011', 'year': '2011', 'mon': '05', 'mday': '12', 'hour': '00', 'min': '00', 'tzname': 'America/Halifax'}","{'pretty': '3:00 AM GMT on May 12, 2011', 'year': '2011', 'mon': '05', 'mday': '12', 'hour': '03', 'min': '00', 'tzname': 'UTC'}",4.9,40.8,4.1,39.4,95,42.6,26.5,55.6,34.5,50,NE,-9999.0,-9999.0,1021.2,30.16,-1.0,30.2,-9999,-9999,0.3,0.01,Unknown,unknown,0,0,0,0,0,0,METAR CWSD 120300Z AUTO 05023G30KT 05/04 RMK AO1 3PAST HR 8003 PK WND 05032/0242 SLP212 P0001 T00490041 50003
"{'pretty': '12:00 AM CDT on August 30, 2002', 'year': '2002', 'mon': '08', 'mday': '30', 'hour': '00', 'min': '00', 'tzname': 'America/Winnipeg'}","{'pretty': '5:00 AM GMT on August 30, 2002', 'year': '2002', 'mon': '08', 'mday': '30', 'hour': '05', 'min': '00', 'tzname': 'UTC'}",21.4,70.5,20.1,68.2,92,16.7,10.4,-9999.0,-9999.0,150,SSE,-9999.0,-9999.0,-9999,-9999,-999,-999,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CXGH 300500Z AUTO 15009KT 21/20 RMK AO1 T02140201
"{'pretty': '12:00 AM CDT on September 19, 2002', 'year': '2002', 'mon': '09', 'mday': '19', 'hour': '00', 'min': '00', 'tzname': 'America/Winnipeg'}","{'pretty': '5:00 AM GMT on September 19, 2002', 'year': '2002', 'mon': '09', 'mday': '19', 'hour': '05', 'min': '00', 'tzname': 'UTC'}",13.4,56.1,13.4,56.1,100,24.1,15.0,-9999.0,-9999.0,340,NNW,-9999.0,-9999.0,-9999,-9999,-999,-999,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CXGH 190500Z AUTO 34013KT 13/13 RMK AO1 PK WND 34020/0445 T01340134
"{'pretty': '12:00 AM CDT on September 20, 2002', 'year': '2002', 'mon': '09', 'mday': '20', 'hour': '00', 'min': '00', 'tzname': 'America/Winnipeg'}","{'pretty': '5:00 AM GMT on September 20, 2002', 'year': '2002', 'mon': '09', 'mday': '20', 'hour': '05', 'min': '00', 'tzname': 'UTC'}",15.3,59.5,7.8,46.0,61,25.9,16.1,-9999.0,-9999.0,200,SSW,-9999.0,-9999.0,-9999,-9999,-999,-999,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CXGH 200500Z AUTO 20014KT 15/08 RMK AO1 PK WND 20018/0455 T01530078
"{'pretty': '12:00 AM CDT on September 21, 2002', 'year': '2002', 'mon': '09', 'mday': '21', 'hour': '00', 'min': '00', 'tzname': 'America/Winnipeg'}","{'pretty': '5:00 AM GMT on September 21, 2002', 'year': '2002', 'mon': '09', 'mday': '21', 'hour': '05', 'min': '00', 'tzname': 'UTC'}",10.8,51.4,4.9,40.8,67,14.8,9.2,-9999.0,-9999.0,280,West,-9999.0,-9999.0,-9999,-9999,-999,-999,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CXGH 210500Z AUTO 28008KT 11/05 RMK AO1 T01080049
"{'pretty': '12:00 AM CDT on September 22, 2002', 'year': '2002', 'mon': '09', 'mday': '22', 'hour': '00', 'min': '00', 'tzname': 'America/Winnipeg'}","{'pretty': '5:00 AM GMT on September 22, 2002', 'year': '2002', 'mon': '09', 'mday': '22', 'hour': '05', 'min': '00', 'tzname': 'UTC'}",5.8,42.4,4.3,39.7,90,7.4,4.6,-9999.0,-9999.0,280,West,-9999.0,-9999.0,-9999,-9999,4.2,39.6,-9999,-9999,-9999.00,-9999.00,Unknown,unknown,0,0,0,0,0,0,METAR CXGH 220500Z AUTO 28004KT 06/04 RMK AO1 T00580043
