,date,lat,lng,thunder,snow,minhumidity,coolingdegreedays,maxdewptm,heatingdegreedays,meanpressurem,rain,minwspdm,fog,humidity,gdegreedays,mindewptm,minpressurem,maxtempm,meanwindspdm,maxpressurem,hail,meandewptm,maxwspdm,precipm,meantempm,meanwdird,maxhumidity,mintempm
0,6,0.8559859105992564,-2.162173567630994,0.0,0.0,50.0,0.0,10.0,4.0,1016.5,0.0,2.0,0.0,59.0,12.0,8.0,1016.0,20.0,1.0,1017.0,0.0,9.0,2.0,0.0,16.0,-1.0,75.0,12.0
1,6,0.8559859105992564,-2.162173567630994,0.0,0.0,46.0,0.0,12.0,12.0,1018.62,0.0,0.0,0.0,72.0,2.0,4.0,1017.0,17.0,5.0,1024.0,0.0,10.0,15.0,0.0,12.0,38.0,98.0,6.0
2,5,0.8106123607556002,-1.1067999511097582,0.0,0.0,36.0,0.0,6.0,21.0,1020.73,0.0,0.0,0.0,76.0,0.0,-2.0,1018.0,16.0,5.0,1023.0,0.0,2.0,15.0,0.2,7.0,59.0,100.0,-2.0
3,10,0.8070680317638697,-1.109066331587143,0.0,0.0,51.0,0.0,7.0,20.0,1000.0,0.0,9.0,0.0,75.0,0.0,0.0,999.0,9.0,22.0,1002.0,0.0,3.0,37.0,2.0,7.0,320.0,95.0,5.0
4,5,0.8091217257881064,-1.1029529668161826,0.0,0.0,32.0,0.0,4.0,24.0,1022.96,0.0,7.0,0.0,61.0,0.0,-6.0,1020.0,9.0,10.0,1025.0,0.0,-1.0,17.0,4.0,4.0,191.0,83.0,0.0
5,7,0.8105017591719604,-1.1192346646848537,0.0,0.0,52.0,8.0,21.0,0.0,1014.27,0.0,18.0,0.0,79.0,23.0,17.0,1012.0,26.0,24.0,1016.0,0.0,19.0,37.0,0.0,22.0,218.0,92.0,19.0
6,5,0.8086882704480437,-1.1118394616506886,0.0,0.0,77.0,0.0,4.0,23.0,1019.33,0.0,28.0,0.0,86.0,0.0,3.0,1017.0,6.0,31.0,1021.0,0.0,3.0,43.0,0.0,5.0,39.0,95.0,4.0
35,4,0.8759371183446542,-1.6951510359994924,0.0,0.0,9.0,0.0,-4.0,22.0,1010.0,0.0,17.0,0.0,33.0,0.0,-11.0,1006.0,14.0,19.0,1013.0,0.0,-7.0,48.0,0.0,6.0,-1.0,67.0,0.0
36,4,0.8759371183446542,-1.6951510359994924,0.0,0.0,7.0,0.0,-7.0,18.0,1017.5,0.0,11.0,0.0,18.0,0.0,-11.0,1015.0,20.0,12.0,1020.0,0.0,-9.0,28.0,0.0,8.0,-1.0,39.0,0.0
37,4,0.8759371183446542,-1.6951510359994924,0.0,0.0,9.0,0.0,-1.0,3.0,1010.75,0.0,32.0,0.0,16.0,12.0,-6.0,1009.0,24.0,28.0,1012.0,0.0,-3.0,56.0,0.0,16.0,-1.0,29.0,11.0
38,4,0.8759371183446542,-1.6951510359994924,0.0,0.0,14.0,0.0,0.0,18.0,1016.75,0.0,13.0,0.0,34.0,0.0,-4.0,1013.0,17.0,11.0,1019.0,0.0,-2.0,18.0,0.0,8.0,-1.0,53.0,4.0
39,4,0.8759371183446542,-1.6951510359994924,0.0,0.0,16.0,0.0,1.0,13.0,1018.25,0.0,18.0,0.0,28.0,2.0,-4.0,1017.0,18.0,18.0,1021.0,0.0,-2.0,43.0,0.0,11.0,-1.0,38.0,4.0
40,4,0.8759371183446542,-1.6951510359994924,0.0,0.0,12.0,0.0,-2.0,20.0,1018.75,0.0,2.0,0.0,41.0,0.0,-4.0,1012.0,19.0,9.0,1023.0,0.0,-3.0,24.0,0.0,7.0,-1.0,68.0,-1.0
41,4,0.8759371183446542,-1.6951510359994924,0.0,0.0,38.0,0.0,7.0,19.0,1007.5,0.0,17.0,0.0,76.0,0.0,0.0,1007.0,7.0,18.0,1008.0,0.0,3.0,39.0,0.0,8.0,-1.0,94.0,2.0
42,4,0.8759371183446542,-1.6951510359994924,0.0,0.0,67.0,0.0,-2.0,34.0,1005.0,0.0,32.0,0.0,77.0,0.0,-3.0,1004.0,2.0,27.0,1007.0,0.0,-2.0,48.0,0.0,0.0,-1.0,87.0,-1.0
43,4,0.8759371183446542,-1.6951510359994924,0.0,0.0,27.0,0.0,-2.0,32.0,1010.0,0.0,33.0,0.0,54.0,0.0,-7.0,1005.0,6.0,27.0,1014.0,0.0,-5.0,43.0,0.0,2.0,-1.0,81.0,-1.0
44,4,0.8759371183446542,-1.6951510359994924,0.0,0.0,12.0,0.0,-8.0,36.0,1018.0,0.0,17.0,0.0,40.0,0.0,-14.0,1016.0,7.0,16.0,1019.0,0.0,-11.0,30.0,0.0,-2.0,-1.0,77.0,-8.0
45,4,0.8759371183446542,-1.6951510359994924,0.0,0.0,15.0,0.0,-10.0,40.0,1019.5,0.0,4.0,0.0,40.0,0.0,-13.0,1017.0,8.0,6.0,1021.0,0.0,-11.0,11.0,0.0,-4.0,-1.0,75.0,-11.0
46,4,0.8759371183446542,-1.6951510359994924,0.0,0.0,22.0,0.0,-1.0,21.0,1012.25,0.0,15.0,0.0,28.0,0.0,-11.0,1010.0,13.0,13.0,1015.0,0.0,-6.0,26.0,0.0,6.0,-1.0,32.0,2.0
47,4,0.8759371183446542,-1.6951510359994924,0.0,0.0,19.0,0.0,1.0,22.0,1013.75,0.0,9.0,0.0,47.0,0.0,-2.0,1013.0,18.0,10.0,1014.0,0.0,-1.0,18.0,0.0,6.0,-1.0,73.0,0.0
48,4,0.8759371183446542,-1.6951510359994924,0.0,0.0,15.0,0.0,0.0,14.0,1018.5,0.0,11.0,0.0,28.0,1.0,-2.0,1017.0,20.0,13.0,1020.0,0.0,-1.0,22.0,0.0,10.0,-1.0,43.0,3.0
49,4,0.8759371183446542,-1.6951510359994924,0.0,0.0,57.0,0.0,6.0,16.0,1023.25,0.0,0.0,0.0,72.0,0.0,5.0,1021.0,10.0,8.0,1025.0,0.0,5.0,18.0,0.0,9.0,-1.0,80.0,8.0
50,4,0.8759371183446542,-1.6951510359994924,0.0,0.0,15.0,0.0,3.0,24.0,1024.25,0.0,0.0,0.0,62.0,0.0,-3.0,1020.0,18.0,3.0,1027.0,0.0,0.0,7.0,0.0,5.0,-1.0,99.0,-4.0
