,thunder,snow,minhumidity,coolingdegreedays,maxdewptm,heatingdegreedays,meanpressurem,rain,minwspdm,fog,humidity,gdegreedays,mindewptm,minpressurem,maxtempm,meanwindspdm,maxpressurem,hail,meandewptm,maxwspdm,precipm,meantempm,meanwdird,maxhumidity,mintempm
1,"['*', -0.0606]",[-0.0069],[-11.7187],"['*', -1.0539]",[-2.6067],"['*', -3.5106]","['*', -2.8257]","['*', -0.222]",[-2.7724],"['*', -0.0756]",[-9.0732],"['*', -3.5285]",[-2.8918],"['*', -3.1189]",[-2.9817],-3.624,"['*', -2.6122]",[-0.0021],[-2.4976],-7.1615,"['*', -1.4261]",[-2.5297],[-84.7843],-7.8377,[-3.0462]
2,[-0.0675],"['*', -0.0067]","['*', -11.5402]",[-1.0903],"['*', -2.5981]",[-3.5113],[-2.9291],-0.2388,[-2.705],[-0.0807],"['*', -8.8001]",[-3.5588],"['*', -2.8126]",[-3.2101],"['*', -2.9565]",[-3.4518],[-2.7331],[-0.0022],"['*', -2.4779]",-6.7718,[-1.4623],"['*', -2.5236]",[-83.8436],[-7.3941],"['*', -2.9575]"
3,-0.07,[-0.0072],[-11.6519],-1.1311,[-2.6604],[-3.546],-3.0216,-0.247,"['*', -2.6872]",-0.0829,[-8.932],[-3.608],[-2.8744],-3.3088,[-3.0321],[-3.3913],-2.8366,[-0.0022],[-2.5447],[-6.6089],[-1.4811],[-2.544],"['*', -83.1446]",[-7.266],[-3.0053]
4,-0.0733,[-0.0079],-11.8608,-1.1689,-2.7357,[-3.658],-3.2005,-0.2549,[-2.7011],-0.0855,-9.0417,-3.7331,-2.9213,-3.4826,-3.1189,[-3.3928],-2.9998,[-0.0021],-2.6248,[-6.5771],[-1.4864],-2.6117,[-84.0653],"['*', -7.2189]",[-3.0535]
5,-0.0748,[-0.008],-11.9646,-1.2168,-2.8219,-3.7469,-3.3353,-0.2611,[-2.713],-0.0865,-9.1595,-3.8237,-3.0015,-3.6119,-3.187,[-3.3775],-3.108,[-0.0021],-2.7134,[-6.5625],[-1.5238],-2.6618,[-84.0869],[-7.2569],[-3.1007]
6,-0.0768,[-0.0083],-12.0659,-1.2583,-2.8895,-3.8384,-3.4452,-0.2673,[-2.7171],-0.0873,-9.2632,-3.9313,-3.0737,-3.7141,-3.2656,[-3.3704],-3.2093,[-0.0022],-2.7827,[-6.5175],[-1.5405],-2.7128,[-84.081],[-7.311],-3.1553
7,-0.0785,[-0.0081],-12.2024,-1.2804,-2.9378,-3.925,-3.5592,-0.271,[-2.7216],-0.0875,-9.4096,-4.0243,-3.1352,-3.8297,-3.3305,[-3.3598],-3.3174,[-0.0023],-2.8374,[-6.4956],[-1.5472],-2.7634,[-84.317],[-7.3512],-3.1948
8,-0.0805,[-0.0081],-12.2548,-1.3066,-2.9824,-4.0086,-3.6474,-0.2735,[-2.7367],-0.0892,-9.5001,-4.1174,-3.1863,-3.9256,-3.39,[-3.3629],-3.3966,[-0.0024],-2.8935,[-6.4757],[-1.5383],-2.8177,[-84.4606],[-7.3899],-3.248
9,-0.0816,[-0.0078],-12.321,-1.3292,-3.0214,-4.0735,-3.7239,-0.2752,[-2.7472],-0.0904,-9.6275,-4.1973,-3.2255,-4.0059,-3.4502,[-3.3531],-3.4679,[-0.0024],-2.9366,[-6.4435],[-1.5275],-2.8615,[-84.7565],[-7.4289],-3.2892
10,-0.0825,[-0.0077],-12.4516,-1.3561,-3.0645,-4.1413,-3.7922,-0.2766,[-2.75],-0.092,-9.7641,-4.2735,-3.2715,-4.0758,-3.4994,[-3.3411],-3.5318,[-0.0024],-2.9806,[-6.4185],[-1.5281],-2.9074,[-84.862],-7.4968,-3.3205
