id,date,lat,lng,tornado,monthtodatesnowfalli,thunder,meantempi,snow,meanvism,meanwdire,minhumidity,maxvism,since1jancoolingdegreedays,coolingdegreedays,maxdewptm,monthtodatecoolingdegreedays,since1sepheatingdegreedays,precipi,heatingdegreedays,meanpressurem,since1julsnowfallm,monthtodatesnowfallm,precipsource,rain,minwspdm,since1sepcoolingdegreedaysnormal,meanwindspdi,monthtodateheatingdegreedaysnormal,snowfallm,fog,humidity,minwspdi,meanpressurei,gdegreedays,since1julheatingdegreedays,mindewptm,maxwspdi,minpressurem,coolingdegreedaysnormal,maxtempm,minvisi,meanwindspdm,mintempi,maxpressurem,since1sepheatingdegreedaysnormal,hail,meandewptm,maxwspdm,precipm,meantempm,since1julheatingdegreedaysnormal,snowfalli,monthtodateheatingdegreedays,monthtodatecoolingdegreedaysnormal,since1sepcoolingdegreedays,maxpressurei,minvism,minpressurei,maxvisi,heatingdegreedaysnormal,since1jancoolingdegreedaysnormal,snowdepthm,meanwdird,meandewpti,meanvisi,maxhumidity,snowdepthi,mintempm,since1julsnowfalli,maxtempi,maxdewpti,mindewpti

0,20060821,49.210001093168,-124.053949760726,0,,0,65,0,,WNW,63,,,0,16,,,0.00,0,1014.17,,,3Or6HourObs,0,11,,14,,,0,76,7,29.95,15,,12,22,1012,,21,,22,60,1016,,0,14,35,0.0,18,,,,,,30.01,,29.90,,,,,287,57,,85,,15,,70,60,54

1,20110625,48.987427006012,-123.826904296875,0,,0,56,0,,Variable,43,,,0,9,,,0.00,10,1018.00,,,3Or6HourObs,0,2,,1,,,0,65,1,30.06,6,,7,2,1018,,18,,2,46,1018,,0,8,4,0.0,13,,,,,,30.08,,30.05,,,,,-1,46,,87,,8,,65,48,44

2,20110628,49.152969656170,-123.969726562500,0,,0,64,0,,NW,62,,,0,16,,,0.00,1,1004.70,,,3Or6HourObs,0,4,,8,,,0,81,2,29.67,14,,13,14,1004,,19,,14,62,1006,,0,15,22,0.0,18,,,,,,29.72,,29.66,,,,,316,58,,91,,17,,66,61,55

3,20120519,49.237558716061,-122.793170213699,0,,0,52,0,,SSW,19,,,0,6,,,0.00,13,1019.28,,,3Or6HourObs,0,0,,1,,,0,57,0,30.10,2,,-6,6,1017,,19,,2,37,1020,,0,3,9,0.0,10,,,,,,30.14,,30.04,,,,,211,38,,95,,2,,67,43,22

4,20140719,49.206700000000,-122.992810000000,0,,0,,0,,Variable,,,,,,,,0.00,,,,,3Or6HourObs,0,,,,,,0,,,,,,,,,,,,,,,,0,,,0.0,,,,,,,,,,,,,,-1,,,,,,,,,
