id,date,lat,lng,tornado,monthtodatesnowfalli,thunder,meantempi,snow,meanvism,meanwdire,minhumidity,maxvism,since1jancoolingdegreedays,coolingdegreedays,maxdewptm,monthtodatecoolingdegreedays,since1sepheatingdegreedays,precipi,heatingdegreedays,meanpressurem,since1julsnowfallm,monthtodatesnowfallm,precipsource,rain,minwspdm,since1sepcoolingdegreedaysnormal,meanwindspdi,monthtodateheatingdegreedaysnormal,snowfallm,fog,humidity,minwspdi,meanpressurei,gdegreedays,since1julheatingdegreedays,mindewptm,maxwspdi,minpressurem,coolingdegreedaysnormal,maxtempm,minvisi,meanwindspdm,mintempi,maxpressurem,since1sepheatingdegreedaysnormal,hail,meandewptm,maxwspdm,precipm,meantempm,since1julheatingdegreedaysnormal,snowfalli,monthtodateheatingdegreedays,monthtodatecoolingdegreedaysnormal,since1sepcoolingdegreedays,maxpressurei,minvism,minpressurei,maxvisi,heatingdegreedaysnormal,since1jancoolingdegreedaysnormal,snowdepthm,meanwdird,meandewpti,meanvisi,maxhumidity,snowdepthi,mintempm,since1julsnowfalli,maxtempi,maxdewpti,mindewpti

0,20110410,49.179739698746,-122.469770908356,0,,0,47,0,,NE,66,,,0,6,,,0.35,18,1014.28,,,Precip6GroupSynop,0,2,,5,,,0,92,1,29.95,0,,6,14,1011,,11,,7,43,1016,,0,6,22,9.0,8,,,,,,30.00,,29.87,,,,,46,43,,97,,6,,51,44,42

1,20060404,49.781946641230,-123.133868707512,0,,0,52,0,,NW,41,,,0,9,,,0.04,13,1010.79,,,Precip6GroupSynop,0,0,,2,,,0,83,0,29.85,2,,3,9,1007,,17,,3,40,1013,,0,6,15,1.0,11,,,,,,29.92,,29.74,,,,,326,43,,100,,4,,63,48,38

2,20040402,49.781946641230,-123.133868707512,0,,0,50,0,,North,19,,,0,4,,,0.00,15,1026.23,,,3Or6HourObs,0,2,,4,,,0,64,1,30.31,0,,-4,10,1018,,20,,6,31,1032,,0,-0,17,0.0,10,,,,,,30.48,,30.06,,,,,4,32,,96,,0,,69,39,25

3,20050410,49.781946641230,-123.133868707512,0,,0,42,0,,NE,58,,,0,6,,,0.16,23,1018.95,,,Precip6GroupSynop,0,0,,2,,,0,88,0,30.09,0,,2,6,1011,,9,,3,35,1023,,0,4,9,4.0,6,,,,,,30.22,,29.85,,,,,52,39,,100,,2,,49,43,35

4,20110413,49.179739698746,-122.469770908356,0,,0,45,0,,NE,62,,,0,6,,,0.20,20,1013.62,,,Precip6GroupSynop,0,2,,6,,,0,84,1,29.94,0,,4,10,1012,,10,,9,40,1017,,0,5,17,5.0,7,,,,,,30.03,,29.89,,,,,41,40,,94,,4,,50,43,38

5,20110415,49.179739698746,-122.469770908356,0,,0,41,0,,NE,31,,,0,4,,,0.04,24,1019.83,,,Precip6GroupSynop,0,2,,3,,,0,73,1,30.12,0,,-3,7,1016,,11,,5,30,1024,,0,0,11,1.0,5,,,,,,30.24,,30.00,,,,,44,33,,100,,-1,,52,39,26

6,20110423,49.179739698746,-122.469770908356,0,,0,48,0,,WNW,12,,,0,3,,,0.00,17,1013.84,,,3Or6HourObs,0,0,,2,,,0,58,0,29.94,0,,-4,5,1009,,18,,3,31,1018,,0,-0,7,0.0,9,,,,,,30.08,,29.81,,,,,289,32,,98,,0,,65,37,25

7,20110410,49.179739698746,-122.469770908356,0,,0,47,0,,NE,66,,,0,6,,,0.35,18,1014.28,,,Precip6GroupSynop,0,2,,5,,,0,92,1,29.95,0,,6,14,1011,,11,,7,43,1016,,0,6,22,9.0,8,,,,,,30.00,,29.87,,,,,46,43,,97,,6,,51,44,42

8,20110412,49.179739698746,-122.469770908356,0,,0,44,0,,East,28,,,0,4,,,0.00,20,1020.30,,,HourlyObs,0,0,,2,,,0,68,0,30.13,0,,-2,6,1015,,13,,3,34,1026,,0,1,9,0.0,7,,,,,,30.29,,29.98,,,,,83,34,,96,,1,,55,39,29

9,20050712,46.271585679097996,-62.853738730042,0,,0,57,0,12.6,North,82,24.1,,0,14,,,0.01,8,1016.92,,,Precip6GroupSynop,1,9,,12,,,0,95,6,30.03,7,,13,20,1014,,15,2.0,19,55,1018,,0,13,32,0.3,14,,,,,,30.06,3.2,29.95,15.0,,,,11,56,7.9,100,,13,,59,57,55

10,20100328,46.703737,-64.104108,0,,0,22,0,,South,29,,,0,-5,,,0.00,43,1031.57,,,3Or6HourObs,0,2,,8,,,0,57,1,30.47,0,,-16,20,1029,,0,,13,13,1034,,0,-11,32,0.0,-5,,,,,,30.54,,30.39,,,,,175,13,,78,,-10,,31,23,2

11,20180109,46.50235,-63.5879,0,,0,21,0,,WSW,67,,,0,-4,,,0.01,44,1007.25,,,Precip6GroupSynop,0,9,,8,,,0,89,6,29.75,0,,-10,20,1004,,-3,,13,16,1012,,0,-6,32,0.2,-6,,,,,,29.88,,29.64,,,,,255,20,,100,,-8,,26,26,14

